5163,TURN_90,502,469.00,464.70,502.00,490.08,-43.58,-43.85,-42.96,-43.58,-45.03,-72.15,-70.88,-69.73,-72.15,-72.04
5221,TURN_90,598,557.00,558.53,598.00,583.33,-45.89,-45.89,-45.09,-45.89,-47.10,-74.84,-73.50,-72.39,-74.84,-74.75
5278,TURN_90,682,640.00,647.08,682.00,678.75,-43.08,-44.97,-44.48,-43.08,-45.54,-77.37,-76.14,-75.03,-77.37,-77.42
5337,TURN_90,710,703.00,693.82,710.00,737.17,-45.34,-45.34,-45.26,-45.34,-45.19,-80.04,-78.74,-77.67,-80.04,-80.04
5395,FORWARD_1S,726,726.00,715.31,726.00,754.00,-41.31,-45.34,-44.44,-46.58,-43.79,-82.59,-81.39,-80.28,-82.59,-82.64
5452,FORWARD_1S,720,722.00,718.19,720.00,739.17,-14.50,-28.08,-21.76,-14.50,-26.18,-83.81,-83.40,-82.22,-83.81,-84.47
5511,FORWARD_1S,712,712.00,715.73,712.00,718.17,-0.96,-0.96,-0.88,-14.50,0.60,-83.73,-83.73,-82.98,-83.73,-84.73
5569,FORWARD_1S,693,702.00,709.88,693.00,697.42,4.47,4.47,4.47,9.54,15.38,-83.31,-83.44,-83.14,-83.31,-83.95
5627,FORWARD_1S,682,684.00,700.46,682.00,681.42,-5.98,-5.57,-3.56,-5.98,4.17,-83.63,-83.47,-83.27,-83.63,-83.50
5685,FORWARD_1S,665,667.00,686.40,665.00,663.83,4.34,2.37,2.87,-5.98,0.04,-83.43,-83.56,-83.32,-83.43,-83.45
5743,FORWARD_1S,646,646.00,667.22,646.00,644.00,3.87,3.87,2.63,3.87,0.70,-83.30,-83.42,-83.33,-83.30,-83.42
5801,FORWARD_1S,634,640.00,651.69,634.00,631.25,1.67,1.67,1.08,1.67,2.81,-83.30,-83.30,-83.33,-83.30,-83.29
5859,FORWARD_1S,609,617.00,631.69,609.00,611.83,-4.27,1.67,-0.57,2.73,-1.23,-83.33,-83.30,-83.32,-83.33,-83.24
5917,FORWARD_1S,588,598.00,610.54,588.00,590.75,0.91,-4.13,-0.70,0.91,-1.83,-83.41,-83.41,-83.33,-83.41,-83.37
5976,FORWARD_1S,571,580.00,591.14,571.00,569.17,-0.37,-0.37,-1.50,-0.37,-2.37,-83.55,-83.54,-83.36,-83.55,-83.53
6034,FORWARD_1S,553,559.00,572.03,553.00,551.58,-3.28,-0.37,-1.35,3.86,-0.99,-83.52,-83.52,-83.37,-83.52,-83.56
6091,FORWARD_1S,533,543.00,553.70,533.00,533.42,3.16,0.09,1.11,3.16,1.75,-83.42,-83.51,-83.38,-83.42,-83.48
6150,FORWARD_1S,513,524.00,534.77,513.00,514.00,3.92,3.16,2.82,3.92,3.97,-83.21,-83.33,-83.37,-83.21,-83.29
6208,FORWARD_1S,497,504.00,516.31,497.00,495.83,2.88,2.88,2.41,2.88,2.92,-83.08,-83.17,-83.35,-83.08,-83.11
6266,FORWARD_1S,473,489.00,497.31,473.00,476.17,3.38,2.88,1.71,3.38,0.59,-83.13,-83.13,-83.33,-83.13,-83.07
6324,FORWARD_1S,456,465.00,477.17,456.00,456.08,-4.39,1.64,-0.40,1.64,-1.90,-83.20,-83.13,-83.32,-83.20,-83.11
